district,chiefdom,phu,facility_type,community,population_2023,dp_name,dp_type
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Yengelleh,321,Yengelleh Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Bandajuma,340,Limba CHP,Outreach
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Kpetewoma,500,Niagorehun CHP,Fixed
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Levuma,100,Niagorehun CHP,Fixed
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Limba,800,Limba CHP,Outreach
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Mandehun,500,Niagorehun CHP,Fixed
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Mandu1,315,Limba CHP,Outreach
Bo District,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,CHP,Niagorehun CHP,2607,Niagorehun CHP,Fixed
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Daballa,438,Yeinkein Court Barray,Outreach
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Faabu,422,Gbangoya Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Gbangaya,562,Gbangoya Courtbarray,Outreach
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Kanga,542,Senehun Ngolan MCHP,Fixed
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Senehun Ngola,438,Senehun Ngolan MCHP,Fixed
Bo District,Bargbo Chiefdom,Senehun Ngolan MCHP,MCHP,Yeinkein,724,Yeinkein Court Barray,Outreach
Bo District,Bo City,Aethel CHP,CHP,,,,
Bo District,Bo City,Agape Way CHP,CHP,Bagbo Hill,1178,Bagbo Hill Section,Outreach
Bo District,Bo City,Agape Way CHP,CHP,Johnny Layout,3002,Sammie 2 Community Barry,Outreach
Bo District,Bo City,Agape Way CHP,CHP,Johnny Street,1342,Nafaya MCHP,Fixed
Bo District,Bo City,Agape Way CHP,CHP,Kenediye Section,4500,Agape CHP,Fixed
Bo District,Bo City,Agape Way CHP,CHP,Manjama,2072,Nafaya MCHP,Fixed
Bo District,Bo City,Agape Way CHP,CHP,Part Of Abu Street,953,Nafaya MCHP,Fixed
Bo District,Bo City,Agape Way CHP,CHP,Part Of Kallon Street,646,Sammie 2 Community Barry,Outreach
Bo District,Bo City,Agape Way CHP,CHP,Part Of Sewa Road,2000,Bagbo Hill Section,Outreach
Bo District,Bo City,Agape Way CHP,CHP,Sammie 2,905,Sammie 2 Community Barry,Outreach
Bo District,Bo City,Agape Way CHP,CHP,Shelmingo Junction,936,Nafaya MCHP,Fixed
Bo District,Bo City,Batiama Layout MCHP,MCHP,Amadu St,84,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Amie Street,205,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Batiama Section,848,Batiama Layout MCHP,Fixed
Bo District,Bo City,Batiama Layout MCHP,MCHP,Borbonkorboh Section,196,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,C-Line,187,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Fabaina,102,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Gangama,136,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Gogoima,394,Batiama Layout MCHP,Fixed
Bo District,Bo City,Batiama Layout MCHP,MCHP,Gondama Rd & Gondama,551,Batiama Layout MCHP,Fixed
Bo District,Bo City,Batiama Layout MCHP,MCHP,Kallon St,193,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Katimu St,221,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Kpakuya,238,Batiama Layout MCHP,Fixed
Bo District,Bo City,Batiama Layout MCHP,MCHP,Mattu St,103,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Moibawo Farm,240,Batiama Layout MCHP,Fixed
Bo District,Bo City,Batiama Layout MCHP,MCHP,Ngalu Road,214,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Ngegboiya,274,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Swarray Drive,106,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Teibo,220,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Tenneh St,167,Fabaina Court Barry,Outreach
Bo District,Bo City,Batiama Layout MCHP,MCHP,Yokie Drive,167,Fabaina Court Barry,Outreach
Bo District,Bo City,Bo School Bay CHP,CHP,,,,
Bo District,Bo City,Breakthrough MCHP,MCHP,,,,
Bo District,Bo City,Brima Town CHP,CHP,Brima Town,1500,Brima Town CHP,Fixed
Bo District,Bo City,Brima Town CHP,CHP,Edc Unit Community,640,Edc Unit CHP,Fixed
Bo District,Bo City,Brima Town CHP,CHP,Gbaiima Road,560,Brima Town CHP,Fixed
Bo District,Bo City,Brima Town CHP,CHP,Gbaiima Road,1230,Edc Unit CHP,Fixed
Bo District,Bo City,Brima Town CHP,CHP,Jagboima -Quarter,2953,Old Police Barrack,Outreach
Bo District,Bo City,Brima Town CHP,CHP,Part Of New York,1000,New York,Outreach
Bo District,Bo City,Brima Town CHP,CHP,Part Of Nikibu,1905,Old Police Barrack,Outreach
Bo District,Bo City,Brima Town CHP,CHP,Reservation,1000,New York,Outreach
Bo District,Bo City,EDC Unit CHP,CHP,,,,
Bo District,Bo City,Favour MCHP,MCHP,,,,
Bo District,Bo City,Gbanja Town MCHP,MCHP,,,,
Bo District,Bo City,Gbotima CHP,CHP,Bandajuma,996,Bo No 2 Extension,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Bandajuma Extension,1460,Upper Samamie Section,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Baoma,500,Bo No 2 Extension,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Bo No 2 Extension,2000,Bo No 2 Extension,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Boborkumbo,600,Upper Samamie Section,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Gbitima,869,Gbitima Court Barry,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Gbotima CHP,2310,Gbotima CHC,Fixed
Bo District,Bo City,Gbotima CHP,CHP,Nduivuibu,923,Nduivuibu MCHP,Fixed
Bo District,Bo City,Gbotima CHP,CHP,Ngegbayama,500,Upper Samamie Section,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Ngegbayama Layout,800,Upper Samamie Section,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Sembehun Tibuima,1846,Gbitima Court Barry,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Tongiema,652,Gbitima Court Barry,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Upper Samamie Section,2500,Upper Samamie Section,Outreach
Bo District,Bo City,Gbotima CHP,CHP,Victor Town,525,Nduivuibu MCHP,Fixed
Bo District,Bo City,Genda CHP,CHP,,,,
Bo District,Bo City,Genda MCHP,MCHP,,,,
Bo District,Bo City,Haikel CHP,CHP,Ahmediyya Section,2704,Kendeyeilla MCHP,Outreach
Bo District,Bo City,Haikel CHP,CHP,Gbangema,650,Sammie 1 Coury Barry,Outreach
Bo District,Bo City,Haikel CHP,CHP,Gborbu,802,Haikel CHP,Fixed
Bo District,Bo City,Haikel CHP,CHP,Gogoima,680,Sammie 1 Coury Barry,Outreach
Bo District,Bo City,Haikel CHP,CHP,Haikel Community,1970,Haikel CHP,Fixed
Bo District,Bo City,Haikel CHP,CHP,Hill Station,1180,Kendeyeilla MCHP,Outreach
Bo District,Bo City,Haikel CHP,CHP,Holy Mary,500,Veronical,Fixed
Bo District,Bo City,Haikel CHP,CHP,Kamara Town,985,Kendeyeilla MCHP,Outreach
Bo District,Bo City,Haikel CHP,CHP,Kendeyeilla,1400,Kendeyeilla MCHP,Outreach
Bo District,Bo City,Haikel CHP,CHP,Knedeyeila Road,292,Veronical,Fixed
Bo District,Bo City,Haikel CHP,CHP,Kpetewoma,988,Haikel CHP,Fixed
Bo District,Bo City,Haikel CHP,CHP,Mount Pleansent,760,Haikel CHP,Fixed
Bo District,Bo City,Haikel CHP,CHP,New England Extension,2500,Veronical,Fixed
Bo District,Bo City,Haikel CHP,CHP,New England Lower,1000,Veronical,Fixed
Bo District,Bo City,Haikel CHP,CHP,New England Upper,1500,Veronical,Fixed
Bo District,Bo City,Haikel CHP,CHP,Salwaco,560,Sammie 1 Coury Barry,Outreach
Bo District,Bo City,Haikel CHP,CHP,Salwaco,1340,Kendeyeilla MCHP,Outreach
Bo District,Bo City,Haikel CHP,CHP,Sami 2,600,Sammie 1 Coury Barry,Outreach
Bo District,Bo City,Haikel CHP,CHP,Sammie 1 Community,734,Sammie 1 Coury Barry,Outreach
Bo District,Bo City,Haikel CHP,CHP,Tipper Ground,500,Veronical,Fixed
Bo District,Bo City,Haikel CHP,CHP,Toyella,160,Kendeyeilla MCHP,Outreach
Bo District,Bo City,Kakua Static CHC,CHC,Bo School Quarters,1200,Bo School Bay,Outreach
Bo District,Bo City,Kakua Static CHC,CHC,Gbaiima Road,3405,Methodis High School,Outreach
Bo District,Bo City,Kakua Static CHC,CHC,Kortugbuma,4045,Kakua Static CHC,Fixed
Bo District,Bo City,Kakua Static CHC,CHC,Mattru Road,1270,Bo School Bay,Outreach
Bo District,Bo City,Kakua Static CHC,CHC,Mission Road,1360,Methodis High School,Outreach
Bo District,Bo City,Kakua Static CHC,CHC,Nikibu,700,Bo School Bay,Outreach
Bo District,Bo City,Kakua Static CHC,CHC,Part Of Hanga Town,3508,Methodis High School,Outreach
Bo District,Bo City,Kakua Static CHC,CHC,Reservation,6514,Kakua Static CHC,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Agatha Drive,700,Aethel CHP,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Banga Farm,1250,Street Child Hacil,Outreach
Bo District,Bo City,Kandeh Town CHP,CHP,Banga Farm,900,Aethel CHP,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Kandeh Town 1,2437,Kandeh Town CHP,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Kandeh Town 2,1500,Kandeh Town CHP,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Kandeh Town Extension,3000,Kandeh Town CHP,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Kandeh Town Extension,600,Aethel CHP,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Kushe Town Extension,350,Aethel CHP,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Mendewa Zone 6,360,Aethel CHP,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Tewouloma,2000,Aethel CHP,Fixed
Bo District,Bo City,Kandeh Town CHP,CHP,Torwama Road,1000,Street Child Hacil,Outreach
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Chanis Farm,755,Kowama Extension,Outreach
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Joe Town,122,Joe Towm Court Barry,Outreach
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Kowama Extension,930,Kowama Extension,Outreach
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Kowama Layout,1200,Kowama Extension,Outreach
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Kowama Old Towm,900,Kowama (Kakua) CHP,Fixed
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Paramedical Hostel,2500,Kowama (Kakua) CHP,Fixed
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Peace Junction /Bo Tiama,615,Kowama (Kakua) CHP,Fixed
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Unicef Drive,830,Joe Towm Court Barry,Outreach
Bo District,Bo City,Lewaibu CHP,CHP,Abu Street,1006,Bilad Primary School,Outreach
Bo District,Bo City,Lewaibu CHP,CHP,Joe Town,850,Bilad Primary School,Outreach
Bo District,Bo City,Lewaibu CHP,CHP,Jorma,906,Mendewa CHP,Outreach
Bo District,Bo City,Lewaibu CHP,CHP,Lewaibu,1180,Lewaibu CHP,Fixed
Bo District,Bo City,Lewaibu CHP,CHP,Mendewa,2224,Mendewa CHP,Outreach
Bo District,Bo City,Lewaibu CHP,CHP,Mo-Sakpa,779,Lewaibu CHP,Fixed
Bo District,Bo City,Lewaibu CHP,CHP,Mulema Town,999,Bilad Primary School,Outreach
Bo District,Bo City,Lewaibu CHP,CHP,Musa Street Park,1001,Bilad Primary School,Outreach
Bo District,Bo City,Lewaibu CHP,CHP,Oaks Primary School,1132,Mendewa CHP,Outreach
Bo District,Bo City,Lewaibu CHP,CHP,Part Of Mendewa,1050,Lewaibu CHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Banana Island,470,Lyn Maternity MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Banga Farm 1,680,Lyn Maternity MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Banga Farm 1,718,Fullawahun MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Fullawahun,300,Fullawahun MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Jusu Street,150,Lyn Maternity MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Kamanda Town,700,Lyn Maternity MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Kamanda Town,582,Fullawahun MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Lookin Town,500,Njagbla Community,Outreach
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Madena Section,395,Lyn Maternity MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Madina,191,Fullawahun MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,New Londom,2024,Fullawahun MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Njagbla,425,Njagbla Community,Outreach
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Part Of Fullawahun,3000,Lyn Maternity MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Part Of New Landon,2000,Lyn Maternity MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Part Of New York,1000,Lyn Maternity MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Part Of Nikibu Section,560,Lyn Maternity MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Rukor Tow,465,Njagbla Community,Outreach
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Simbaru 2,564,Njagbla Community,Outreach
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Tangahun,704,Fullawahun MCHP,Fixed
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Upper Mattru Road,425,Fullawahun MCHP,Fixed
Bo District,Bo City,Manjiama CHC,CHC,,,,
Bo District,Bo City,Mid Land MCHP,MCHP,Bakaar,251,Mid Land MCHP,Fixed
Bo District,Bo City,Mid Land MCHP,MCHP,Banga Farm Community,651,Mid Land MCHP,Fixed
Bo District,Bo City,Mid Land MCHP,MCHP,New York Community,3549,Mid Land MCHP,Fixed
Bo District,Bo City,Mid Land MCHP,MCHP,Part Of Gbongboma,351,Mid Land MCHP,Fixed
Bo District,Bo City,Mid Land MCHP,MCHP,Part Of Kamanda Town,551,Mid Land MCHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,A-Line,700,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,B-Line,320,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,C-Line,600,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,Gbongo Market,150,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,Kawusu Street,189,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,Main Sewa Road,300,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,Mattia Street,347,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,Nenneh Street,280,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,Railway Line,400,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,Railway Quarters,200,Morning Star CHP,Fixed
Bo District,Bo City,Morning Star CHP,CHP,Sandi Street,400,Morning Star CHP,Fixed
Bo District,Bo City,Nafaya MCHP,MCHP,,,,
Bo District,Bo City,Needy CHP,CHP,Bennie Mix Community,2184,Bennie Mix Hall,Outreach
Bo District,Bo City,Needy CHP,CHP,Bundu Town,430,Tengbewabu MCHP,Fixed
Bo District,Bo City,Needy CHP,CHP,Cow Yard,1370,Needy CHP,Fixed
Bo District,Bo City,Needy CHP,CHP,Feiba Section,900,Tigo Pole,Outreach
Bo District,Bo City,Needy CHP,CHP,Lower Pessima Street,1960,Tengbewabu MCHP,Fixed
Bo District,Bo City,Needy CHP,CHP,Magawai Town,800,Tengbewabu MCHP,Fixed
Bo District,Bo City,Needy CHP,CHP,Messima Community,4196,Needy CHP,Fixed
Bo District,Bo City,Needy CHP,CHP,Pamai Ground,600,Tigo Pole,Outreach
Bo District,Bo City,Needy CHP,CHP,Salina Community,2743,Needy CHP,Fixed
Bo District,Bo City,Needy CHP,CHP,Tengbewabu Community,1004,Tengbewabu MCHP,Fixed
Bo District,Bo City,Needy CHP,CHP,Tigo Pole,1000,Tigo Pole,Outreach
Bo District,Bo City,New Police Barracks CHC,CHC,Bandajuma,2400,Bandajuma MCHP,Fixed
Bo District,Bo City,New Police Barracks CHC,CHC,Bevehun,150,Nyandehun Court Barry,Outreach
Bo District,Bo City,New Police Barracks CHC,CHC,Gangama,70,Nyandehun Court Barry,Outreach
Bo District,Bo City,New Police Barracks CHC,CHC,Gbahama,70,Nyandehun Court Barry,Outreach
Bo District,Bo City,New Police Barracks CHC,CHC,Gbondo Towm,2000,New Police Barracks CHC,Fixed
Bo District,Bo City,New Police Barracks CHC,CHC,J- Street,500,New Police Barracks CHC,Fixed
Bo District,Bo City,New Police Barracks CHC,CHC,Jandama 1&2,812,Nyandehun Court Barry,Outreach
Bo District,Bo City,New Police Barracks CHC,CHC,Kanga,200,Bandajuma MCHP,Fixed
Bo District,Bo City,New Police Barracks CHC,CHC,Kortumahun,800,Kortumahun Court Barry,Outreach
Bo District,Bo City,New Police Barracks CHC,CHC,Kpetema,60,Nyandehun Court Barry,Outreach
Bo District,Bo City,New Police Barracks CHC,CHC,Magbema,100,Nyandehun Court Barry,Outreach
Bo District,Bo City,New Police Barracks CHC,CHC,Mamuihun,100,Bandajuma MCHP,Fixed
Bo District,Bo City,New Police Barracks CHC,CHC,New Police Barrack,1600,New Police Barracks CHC,Fixed
Bo District,Bo City,New Police Barracks CHC,CHC,Nyandehun,1500,Nyandehun Court Barry,Outreach
Bo District,Bo City,New Police Barracks CHC,CHC,Salina Market Area,700,New Police Barracks CHC,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Balehun 1&2,115,Gambia Court Barry,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Borborbu,342,Gbanja Town MCHP,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Cembeckihun,122,Gambia Court Barry,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Ckc Compound,104,Gbanja Town MCHP,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Clerks Quarters,200,Slc Primary School Gate,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Damballa Road,858,Slc Primary School Gate,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Dodo Section,1000,Komende Community Barry,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Foya,132,Gbanja Town MCHP,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Gambia,536,Gambia Court Barry,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Gbanja Town,3119,Gbanja Town MCHP,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Gbondo Town,2255,Gambia Court Barry,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Goba Town,800,Slc Primary School Gate,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Hanga Town,2000,Prase Foundation CHC,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,J-Town,341,Gbanja Town MCHP,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Jabalayout,738,Gbanja Town MCHP,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Kissi Town Road,300,Prase Foundation CHC,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Komende Section,1670,Komende Community Barry,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Kpanguma,524,Gbanja Town MCHP,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Maheiboima Road,800,Slc Primary School Gate,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Nyadehun,127,Gambia Court Barry,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Part Of Damballa Road,500,Prase Foundation CHC,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Samamie Lower Community,977,Slc Primary School Gate,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Shengay,2000,Prase Foundation CHC,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Tongema,1117,Gbanja Town MCHP,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Toobu Section Including Fenton Road,2000,Prase Foundation CHC,Fixed
Bo District,Bo City,Praise Foundation CHC,CHC,Torkponbu,136,Gambia Court Barry,Outreach
Bo District,Bo City,Praise Foundation CHC,CHC,Yakai Lane,605,Prase Foundation CHC,Fixed
Bo District,Bo City,Red Cross (Bo City) CHC,CHC,Coronation Field Community,2800,Sl Red Cross CHC,Fixed
Bo District,Bo City,Red Cross (Bo City) CHC,CHC,Moriba Town Community,1420,Moriba Town Court Barry,Outreach
Bo District,Bo City,Red Cross (Bo City) CHC,CHC,Njaiboima Section,3500,Njaiboima Court Barry,Outreach
Bo District,Bo City,Simbo Town CHP,CHP,Kulanda Town,2322,Njai Town Coumminity Barry,Outreach
Bo District,Bo City,Simbo Town CHP,CHP,Njai Town,3394,Njai Town Coumminity Barry,Outreach
Bo District,Bo City,Simbo Town CHP,CHP,Part Of Damballa Road,600,Simbo Town CHP,Fixed
Bo District,Bo City,Simbo Town CHP,CHP,Part Of Gbonda Town,1000,Simbo Town CHP,Fixed
Bo District,Bo City,Simbo Town CHP,CHP,Part Of Maheiboima Road,1021,Simbo Town CHP,Fixed
Bo District,Bo City,Simbo Town CHP,CHP,Reservation,1000,Simbo Town CHP,Fixed
Bo District,Bo City,Simbo Town CHP,CHP,Sudie Town,9776,Simbo Town CHP,Fixed
Bo District,Bo City,Simbo Town CHP,CHP,Upper Simbo Town,2001,Simbo Town CHP,Fixed
Bo District,Bo City,Simbo Town CHP,CHP,Y-Junction,1000,Njai Town Coumminity Barry,Outreach
Bo District,Bo City,Tengbewabu MCHP,MCHP,,,,
Bo District,Bo City,Topkoi Town CHP,CHP,Fatorma Layout,1096,Favour MCHP,Fixed
Bo District,Bo City,Topkoi Town CHP,CHP,Kedeyema,897,Kedeyema Court Barry,Outreach
Bo District,Bo City,Topkoi Town CHP,CHP,Konniema,1100,Kedeyema Court Barry,Outreach
Bo District,Bo City,Topkoi Town CHP,CHP,Kurtumahun,1500,Kurtumahun Community Barry,Outreach
Bo District,Bo City,Topkoi Town CHP,CHP,Lower Gbondo Town,1350,Favour MCHP,Fixed
Bo District,Bo City,Topkoi Town CHP,CHP,Margawo Town,958,Kedeyema Court Barry,Outreach
Bo District,Bo City,Topkoi Town CHP,CHP,Mofindor,1561,Mofindor Court Barry,Outreach
Bo District,Bo City,Topkoi Town CHP,CHP,Part Of Gogoima,500,Mofindor Court Barry,Outreach
Bo District,Bo City,Topkoi Town CHP,CHP,Tokpoi Town,3300,Topkoi Town CHC,Fixed
Bo District,Bo City,Topkoi Town CHP,CHP,Upper Gbondo Town,1160,Favour MCHP,Fixed
Bo District,Bo City,UNIMUS MCHP,MCHP,Bumpewo,2500,Bumpewo Community Barry,Outreach
Bo District,Bo City,UNIMUS MCHP,MCHP,Farguya 2,2600,Unimus MCHP,Fixed
Bo District,Bo City,UNIMUS MCHP,MCHP,King Street,2802,King Street,Outreach
Bo District,Bo City,UNIMUS MCHP,MCHP,Magomabu,890,Unimus MCHP,Fixed
Bo District,Bo City,UNIMUS MCHP,MCHP,New Gerehun Road,1143,Unimus MCHP,Fixed
Bo District,Bo City,Yemoh Town CHC,CHC,Durba 1,2500,Durba Ground Ics Sec School,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Durba 2,3000,Durba Ground Ics Sec School,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Durba Section,5500,Durba Ground Ics Sec School,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Gangama,900,Gangama Court Barry,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Giebina,450,Giebina Court Barry,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Goguema,300,Genda CHP,Fixed
Bo District,Bo City,Yemoh Town CHC,CHC,Gondama,1800,Genda CHP,Fixed
Bo District,Bo City,Yemoh Town CHC,CHC,Kindia Town,970,New Site Section Court Barry,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Kpakorya,250,Gangama Court Barry,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Kpetewoma,660,Yemoh Town CHC,Fixed
Bo District,Bo City,Yemoh Town CHC,CHC,New Stie,4000,New Site Section Court Barry,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Nyamiana,650,Giebina Court Barry,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Part Of Gogioma,800,New Site Section Court Barry,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Part Of Moibawo Village,500,New Site Section Court Barry,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Part Of Yemoh Town,220,Genda CHP,Fixed
Bo District,Bo City,Yemoh Town CHC,CHC,Suckuma,1800,New Site Section Court Barry,Outreach
Bo District,Bo City,Yemoh Town CHC,CHC,Yemoh Town,3379,Yemoh Town CHC,Fixed
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Gbaama,1746,Gbaama MCHP,Fixed
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Gordie,410,Gordie Court Barray,Outreach
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Hegbema,770,Gbaama MCHP,Fixed
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Laiwahun,223,Laiwahun Court Barry,Mobile
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Nagbena,339,Gbaama MCHP,Fixed
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Yeima,273,Gbaama MCHP,Fixed
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Komemie,193,Komemie Court Barray,Mobile
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Lowuma,1500,Lowuma MCHP,Fixed
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Madina,720,Madina Court Barray,Mobile
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Ngogbebu,978,Lowuma MCHP,Fixed
