district,chiefdom,phu,facility_type,community,population_2023,dp_name,dp_type
Bo District,Bagbwe Chiefdom,Kondiama MCHP,MCHP,Venima,131,Gbaama Court Barray,Outreach
Bo District,Bagbwe Chiefdom,Kpetema (Bagbwe) MCHP,MCHP,,,,
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Baama,586,Kpakuma Court Barry,Outreach
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Kojo Ngeihun,389,Palima Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Kpakuma,337,Kpakuma Court Barry,Outreach
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Kpetema,426,Palima Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Mendewa,696,Mendewa MCHP,Fixed
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Palima,496,Palima Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Vengema,398,Kpakuma Court Barry,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Blama1,350,Kowama Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Foinda,150,Ngalu CHC,Fixed
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Gbaama Tabima,320,Kowama Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Gibima,500,Kowama Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kebawana,190,Kowama Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Konjordoma,435,Ngalu CHC,Fixed
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kowama,450,Kowama Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kpatou,325,Kowama Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kpetewoma,210,Kowama Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kpuawala,105,Ngalu CHC,Fixed
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Manopendorbu,961,Manopendorbu Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Ngalu,1635,Ngalu CHC,Fixed
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Niagorehun,100,Ngalu CHC,Fixed
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Wallihun,106,Kowama Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Yaweh,110,Kowama Courtbarray,Outreach
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Bijia,480,Kpawula,Outreach
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Buma,857,Sami-Buma MCHP,Fixed
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Kpawula,620,Kpawula,Outreach
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Samie,890,Sami-Buma MCHP,Fixed
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Bangema,42,Baoma Old Town,Outreach
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Baoma Old Town,1682,Baoma Old Town,Outreach
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Baoma Station,1932,Baoma Station CHP,Fixed
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Gbandi,625,Baoma Station CHP,Fixed
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Niagorehun,74,Baoma Old Town,Outreach
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Waima,570,Baoma Station CHP,Fixed
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Blamawo,490,Blamawo MCHP,Fixed
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Fallah,318,Kanjalu Court Barray,Outreach
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Kanjalu,565,Kanjalu Court Barray,Outreach
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Kenemawo,156,Kanjalu Court Barray,Outreach
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Kpauma,103,Blamawo MCHP,Fixed
