district,chiefdom,phu,facility_type,community,population_2023
Bo District,Bo City,Kandeh Town CHP,CHP,Mendewa Zone 6,360
Bo District,Bo City,Kandeh Town CHP,CHP,Kandeh Town Extension,600
Bo District,Bo City,Kandeh Town CHP,CHP,Agatha Drive,700
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Paramedical Hostel,2500
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Kowama Old Towm,900
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Peace Junction /Bo Tiama,615
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Joe Town,122
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Unicef Drive,830
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Kowama Extension,930
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Kowama Layout,1200
Bo District,Bo City,Kowama (Kakua) CHP,CHP,Chanis Farm,755
Bo District,Bo City,Lewaibu CHP,CHP,Lewaibu,1180
Bo District,Bo City,Lewaibu CHP,CHP,Part of Mendewa,1050
Bo District,Bo City,Lewaibu CHP,CHP,Mo-sakpa,779
Bo District,Bo City,Lewaibu CHP,CHP,Abu Street,1006
Bo District,Bo City,Lewaibu CHP,CHP,Mulema Town,999
Bo District,Bo City,Lewaibu CHP,CHP,Musa Street Park,1001
Bo District,Bo City,Lewaibu CHP,CHP,Joe Town,850
Bo District,Bo City,Lewaibu CHP,CHP,Mendewa,2224
Bo District,Bo City,Lewaibu CHP,CHP,OAKS Primary School,1132
Bo District,Bo City,Lewaibu CHP,CHP,Jorma,906
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Kamanda Town,700
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Banga Farm 1,680
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Madena Section,395
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Jusu Street,150
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Part of Nikibu Section,560
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Banana Island,470
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Part of New York,1000
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Part of Fullawahun,3000
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Part of New Landon,2000
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Fullawahun,300
Bo District,Bo City,Lyn Maternity MCHP,MCHP,New Londom,2024
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Tangahun,704
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Madina,191
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Upper Mattru Road,425
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Kamanda Town,582
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Banga Farm 1,718
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Njagbla,425
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Simbaru 2,564
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Lookin Town,500
Bo District,Bo City,Lyn Maternity MCHP,MCHP,Rukor Tow,465
Bo District,Bo City,Manjiama CHC,CHC,,
Bo District,Bo City,Mid Land MCHP,MCHP,New  York Community,3549
Bo District,Bo City,Mid Land MCHP,MCHP,Bakaar,251
Bo District,Bo City,Mid Land MCHP,MCHP,Banga Farm Community,651
Bo District,Bo City,Mid Land MCHP,MCHP,Part of Gbongboma,351
Bo District,Bo City,Mid Land MCHP,MCHP,Part of Kamanda Town,551
Bo District,Bo City,Morning Star CHP,CHP,A-Line,700
Bo District,Bo City,Morning Star CHP,CHP,Main Sewa Road,300
Bo District,Bo City,Morning Star CHP,CHP,B-Line,320
Bo District,Bo City,Morning Star CHP,CHP,C-Line,600
Bo District,Bo City,Morning Star CHP,CHP,Sandi Street,400
Bo District,Bo City,Morning Star CHP,CHP,Mattia Street,347
Bo District,Bo City,Morning Star CHP,CHP,Nenneh Street,280
Bo District,Bo City,Morning Star CHP,CHP,Kawusu  Street,189
Bo District,Bo City,Morning Star CHP,CHP,Railway Line,400
Bo District,Bo City,Morning Star CHP,CHP,Gbongo Market,150
Bo District,Bo City,Morning Star CHP,CHP,Railway Quarters,200
Bo District,Bo City,Nafaya MCHP,MCHP,,
Bo District,Bo City,Needy CHP,CHP,Salina community,2743
Bo District,Bo City,Needy CHP,CHP,Messima community,4196
Bo District,Bo City,Needy CHP,CHP,Cow Yard,1370
Bo District,Bo City,Needy CHP,CHP,Bennie Mix Community,2184
Bo District,Bo City,Needy CHP,CHP,Tengbewabu Community,1004
Bo District,Bo City,Needy CHP,CHP,Lower Pessima Street,1960
Bo District,Bo City,Needy CHP,CHP,Magawai Town,800
Bo District,Bo City,Needy CHP,CHP,Bundu Town,430
Bo District,Bo City,Needy CHP,CHP,Tigo Pole,1000
Bo District,Bo City,Needy CHP,CHP,Pamai Ground,600
Bo District,Bo City,Needy CHP,CHP,Feiba Section,900
Bo District,Bo City,New Police Barracks CHC,CHC,New Police Barrack,1600
Bo District,Bo City,New Police Barracks CHC,CHC,J- Street,500
Bo District,Bo City,New Police Barracks CHC,CHC,Salina Market Area,700
Bo District,Bo City,New Police Barracks CHC,CHC,Gbondo Towm,2000
Bo District,Bo City,New Police Barracks CHC,CHC,Kortumahun,800
Bo District,Bo City,New Police Barracks CHC,CHC,Bandajuma,2400
Bo District,Bo City,New Police Barracks CHC,CHC,Mamuihun,100
Bo District,Bo City,New Police Barracks CHC,CHC,Kanga,200
Bo District,Bo City,New Police Barracks CHC,CHC,Nyandehun,1500
Bo District,Bo City,New Police Barracks CHC,CHC,Gangama,70
Bo District,Bo City,New Police Barracks CHC,CHC,Gbahama,70
Bo District,Bo City,New Police Barracks CHC,CHC,Magbema,100
Bo District,Bo City,New Police Barracks CHC,CHC,Jandama 1&2,812
Bo District,Bo City,New Police Barracks CHC,CHC,Kpetema,60
Bo District,Bo City,New Police Barracks CHC,CHC,Bevehun,150
Bo District,Bo City,Praise Foundation CHC,CHC,Hanga Town,2000
Bo District,Bo City,Praise Foundation CHC,CHC,Kissi Town Road,300
Bo District,Bo City,Praise Foundation CHC,CHC,Shengay,2000
Bo District,Bo City,Praise Foundation CHC,CHC,Toobu Section  including Fenton Road,2000
Bo District,Bo City,Praise Foundation CHC,CHC,Part of Damballa Road,500
Bo District,Bo City,Praise Foundation CHC,CHC,Yakai Lane,605
Bo District,Bo City,Praise Foundation CHC,CHC,Komende Section,1670
Bo District,Bo City,Praise Foundation CHC,CHC,Dodo Section,1000
Bo District,Bo City,Praise Foundation CHC,CHC,Damballa Road,858
Bo District,Bo City,Praise Foundation CHC,CHC,Maheiboima Road,800
Bo District,Bo City,Praise Foundation CHC,CHC,Clerks Quarters,200
Bo District,Bo City,Praise Foundation CHC,CHC,Goba Town,800
Bo District,Bo City,Praise Foundation CHC,CHC,Samamie Lower Community,977
Bo District,Bo City,Praise Foundation CHC,CHC,Gbanja Town,3119
Bo District,Bo City,Praise Foundation CHC,CHC,Foya,132
Bo District,Bo City,Praise Foundation CHC,CHC,Borborbu,342
Bo District,Bo City,Praise Foundation CHC,CHC,Kpanguma,524
Bo District,Bo City,Praise Foundation CHC,CHC,Jabalayout,738
Bo District,Bo City,Praise Foundation CHC,CHC,J-Town,341
Bo District,Bo City,Praise Foundation CHC,CHC,Tongema,1117
Bo District,Bo City,Praise Foundation CHC,CHC,CKC Compound,104
Bo District,Bo City,Praise Foundation CHC,CHC,Gambia,536
Bo District,Bo City,Praise Foundation CHC,CHC,Torkponbu,136
Bo District,Bo City,Praise Foundation CHC,CHC,Balehun 1&2,115
Bo District,Bo City,Praise Foundation CHC,CHC,Cembeckihun,122
Bo District,Bo City,Praise Foundation CHC,CHC,Gbondo Town,2255
Bo District,Bo City,Praise Foundation CHC,CHC,Nyadehun,127
Bo District,Bo City,Red Cross (Bo City) CHC,CHC,Coronation Field Community,2800
Bo District,Bo City,Red Cross (Bo City) CHC,CHC,Njaiboima Section,3500
Bo District,Bo City,Red Cross (Bo City) CHC,CHC,Moriba Town community,1420
Bo District,Bo City,Simbo Town CHP,CHP,Upper Simbo Town,2001
Bo District,Bo City,Simbo Town CHP,CHP,Sudie Town,9776
Bo District,Bo City,Simbo Town CHP,CHP,Reservation,1000
Bo District,Bo City,Simbo Town CHP,CHP,Part of Damballa Road,600
Bo District,Bo City,Simbo Town CHP,CHP,Part of Maheiboima Road,1021
Bo District,Bo City,Simbo Town CHP,CHP,Part of Gbonda Town,1000
Bo District,Bo City,Simbo Town CHP,CHP,Njai Town,3394
Bo District,Bo City,Simbo Town CHP,CHP,Y-Junction,1000
Bo District,Bo City,Simbo Town CHP,CHP,Kulanda Town,2322
Bo District,Bo City,Tengbewabu MCHP,MCHP,,
Bo District,Bo City,Topkoi Town CHP,CHP,Tokpoi Town,3300
Bo District,Bo City,Topkoi Town CHP,CHP,Kurtumahun,1500
Bo District,Bo City,Topkoi Town CHP,CHP,Mofindor,1561
Bo District,Bo City,Topkoi Town CHP,CHP,Part of Gogoima,500
Bo District,Bo City,Topkoi Town CHP,CHP,Lower Gbondo Town,1350
Bo District,Bo City,Topkoi Town CHP,CHP,Fatorma Layout,1096
Bo District,Bo City,Topkoi Town CHP,CHP,Upper Gbondo Town,1160
Bo District,Bo City,Topkoi Town CHP,CHP,Kedeyema,897
Bo District,Bo City,Topkoi Town CHP,CHP,Margawo Town,958
Bo District,Bo City,Topkoi Town CHP,CHP,Konniema,1100
Bo District,Bo City,UNIMUS MCHP,MCHP,New Gerehun Road,1143
Bo District,Bo City,UNIMUS MCHP,MCHP,Farguya 2,2600
Bo District,Bo City,UNIMUS MCHP,MCHP,Magomabu,890
Bo District,Bo City,UNIMUS MCHP,MCHP,King Street,2802
Bo District,Bo City,UNIMUS MCHP,MCHP,Bumpewo,2500
Bo District,Bo City,Yemoh Town CHC,CHC,Yemoh Town,3379
Bo District,Bo City,Yemoh Town CHC,CHC,Kpetewoma,660
Bo District,Bo City,Yemoh Town CHC,CHC,Durba Section,5500
Bo District,Bo City,Yemoh Town CHC,CHC,Durba 1,2500
Bo District,Bo City,Yemoh Town CHC,CHC,Durba 2,3000
Bo District,Bo City,Yemoh Town CHC,CHC,New Stie,4000
Bo District,Bo City,Yemoh Town CHC,CHC,Suckuma,1800
Bo District,Bo City,Yemoh Town CHC,CHC,Kindia Town,970
Bo District,Bo City,Yemoh Town CHC,CHC,Part of Gogioma,800
Bo District,Bo City,Yemoh Town CHC,CHC,Part of Moibawo Village,500
Bo District,Bo City,Yemoh Town CHC,CHC,Part of Yemoh Town,220
Bo District,Bo City,Yemoh Town CHC,CHC,Goguema,300
Bo District,Bo City,Yemoh Town CHC,CHC,Gondama,1800
Bo District,Bo City,Yemoh Town CHC,CHC,Gangama,900
Bo District,Bo City,Yemoh Town CHC,CHC,Kpakorya,250
Bo District,Bo City,Yemoh Town CHC,CHC,Giebina,450
Bo District,Bo City,Yemoh Town CHC,CHC,Nyamiana,650
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Gbaama,1746
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Yeima,273
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Nagbena,339
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Hegbema,770
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Gordie,410
Bo District,Bongor Chiefdom,Gbaama MCHP,MCHP,Laiwahun,223
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Lowuma,1500
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Ngogbebu,978
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Yabaima,1060
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Madina,720
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Komemie,193
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Mamboma,3272
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Foya,36
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Bandaru,10
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Kponima,850
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Dambala,210
Bo District,Bongor Chiefdom,Telu CHC,CHC,Telu town,1467
Bo District,Bongor Chiefdom,Telu CHC,CHC,Mbahun,98
Bo District,Bongor Chiefdom,Telu CHC,CHC,Talia,110
Bo District,Bongor Chiefdom,Telu CHC,CHC,Gangama,291
Bo District,Bongor Chiefdom,Telu CHC,CHC,Kpoyama,232
Bo District,Bongor Chiefdom,Telu CHC,CHC,Mendekelema,1258
Bo District,Bongor Chiefdom,Telu CHC,CHC,Baomahun1,706
Bo District,Bongor Chiefdom,Telu CHC,CHC,Baomahun2,411
Bo District,Bongor Chiefdom,Telu CHC,CHC,Gboworhun,22
Bo District,Bongor Chiefdom,Telu CHC,CHC,Walihun,1909
Bo District,Bongor Chiefdom,Telu CHC,CHC,Faama,86
Bo District,Bumpe Ngao Chiefdom,Bongor (Bumpe Ngao) MCHP,MCHP,Bongor,1200
Bo District,Bumpe Ngao Chiefdom,Bongor (Bumpe Ngao) MCHP,MCHP,Moyoru,300
Bo District,Bumpe Ngao Chiefdom,Bongor (Bumpe Ngao) MCHP,MCHP,Mbelebu,271
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Buma,1945
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Nguabu,413
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Momende,340
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Magiema,349
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Buma Njagor,210
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Bumpeh,1577
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Sembehun Junction,505
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,salina,92
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Solima,122
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngiebu,71
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Voima,102
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,mongenda,46
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngieya Fillie,121
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Kowama Bondorboma,96
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Nguala,135
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Bajao,90
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Waima,100
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mogongoi,45
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngukpebu,52
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Nguabu,67
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Fewanema,66
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Semabu Benya,136
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngiegboiya,105
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Gbenenga,105
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Leuvma,59
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Motoima,86
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Semabu Folobu,250
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Vulahun,124
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Njaluahun,100
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Fanima,73
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Gabon,66
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Dassamu,177
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngieya 4,124
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Bellor,100
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mowoso,79
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Baoma,110
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mongla,137
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Kawaya,84
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mamboma,77
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Konnie,97
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Foya,828
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Banda Foya,132
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Kortumahun,100
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mokowu 1,142
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mokowu 2,125
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Pujehun,98
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Hanga,100
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Simbekihun,42
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Kowama Nenbuima,129
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Njagboima,107
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Kagbiama,350
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Mohasema,30
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Momokanneh Junction,130
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Fouwama,140
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Bumpewo,200
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Gandorhun,140
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Bamba,150
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Baawomahun,210
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Timidi,130
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Kpetewoma,150
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Nyadahun,200
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Mokolo,120
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Mokemeh,120
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Mohinda,38
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Kaninya,600
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Mowoto- Titima,340
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Nyandehun,50
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Mowoto 2,400
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Mofwe,560
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Tissana,400
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Madinawo,150
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Juhun,218
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Mogbevo,269
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Baka,149
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Ngalahun,49
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Njedema,293
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Kpetema,1907
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Dandabu,80
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Manavulahun,38
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Mongere,186
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Kpejebu,26
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Ngiyehunsongay,100
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Hotawuloma,162
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Kpandemie,105
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Sembehun Batayama,15
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Ballehun,290
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Hasting,22
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Jewenga,50
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Niagorehun Sombie,350
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Makayoni,515
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Toebu 1,353
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Masahun,130
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Mokombay,227
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Hotawulomie,98
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Pelewahun,80
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Majehun,212
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Hangha,473
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Gordie,84
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Kpetewoma,357
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Toebu 2,110
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Mokpendeh,80
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Gendema,210
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Bambuibu,114
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Matagelema,217
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Momado,206
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Ngangema,106
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Ngiegboya,352
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Kpatema,108
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Sembehun Dowo,255
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Mokoba,2355
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Mokondor vulahun,46
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Ndorhun,66
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Kotumahun,60
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Yonnie,1406
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Voima,90
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Faikundor,68
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Makandama,46
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Mokoba old town,1010
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Mokpende,1500
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Walihun,205
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Yengemawo,410
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Kamasu,245
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Nyandehun,105
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Ngolahun,875
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Njagbema,171
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Lawana,70
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Nduvuibu,204
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Banda,198
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Senehun,216
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Ngelehun,20
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gieyah,65
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Bangalu,65
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Congo,86
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Moguma,48
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gogoima,220
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Camaroun,80
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gondama,292
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Mofindor,27
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Patama,66
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Manowo,122
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Waterloo,91
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gbahama,128
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Torkporgoma,46
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Torkpumbu,236
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,NYAGOREHUN,184
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gbangba,198
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Missila,204
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Mobimbe,44
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Benduma 1,108
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Benduma 2,65
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Pelewahun,86
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Moforay,180
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Jaiyahun Teyama,205
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Niagorehun Vakie,500
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Hanga,170
