district,chiefdom,phu,facility_type,community,population_2023
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Gibima,500
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kpetewoma,210
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kebawana,190
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Samie,890
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Buma,857
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Kpawula,620
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Bijia,480
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Baoma Station,1932
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Waima,570
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Gbandi,625
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Baoma old town,1682
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Niagorehun,74
Bo District,Baoma Chiefdom,Baoma Station CHP,CHP,Bangema,42
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Blamawo,490
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Taninahun,271
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Kwalema,322
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Kpauma,103
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Kanjalu,565
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Mogbuama,317
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Fallah,318
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Kenemawo,156
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Faabu,653
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Kortumahun,383
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Fayama,783
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Gualla,703
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Gangama,212
Bo District,Baoma Chiefdom,Foindu (Baoma) MCHP,MCHP,Foindu,1312
Bo District,Baoma Chiefdom,Foindu (Baoma) MCHP,MCHP,Ndema,779
Bo District,Baoma Chiefdom,Foindu (Baoma) MCHP,MCHP,Gbuyama,738
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Gbahama,786
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Jorbohun,471
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Kponima,398
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Gbahun,419
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Hagbahun,238
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Komende,538
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Kpatema,629
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Gerehun CHC,2715
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Ngeyawami,253
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Kplorya,183
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Gogoima,48
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Matama,268
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Tobada,418
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Gondoma,520
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Paliama 1,164
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Lowumi,37
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Potolu,230
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Gbaiima,290
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Kwellu,664
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Bagorma,127
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Ngiehun,100
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Pujehun,75
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Njama,60
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Gollu,659
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Konnia,880
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Palima 2,204
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Golela,219
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Lungi,162
Bo District,Baoma Chiefdom,Golu MCHP,MCHP,Nongoba,288
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Jembe,3316
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Massao,162
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Komolu,317
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Kenyema,441
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Gendema,930
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Niama,1032
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Ngelahun,408
Bo District,Baoma Chiefdom,Jembe CHC,CHC,Mossamai,33
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Jormu,930
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Tongie,546
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Ngualu,473
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Maina,511
Bo District,Baoma Chiefdom,Jormu (Baoma) MCHP,MCHP,Feiba,265
Bo District,Baoma Chiefdom,Kigbai MCHP,MCHP,Kigbai,1028
Bo District,Baoma Chiefdom,Kigbai MCHP,MCHP,Kanga,514
Bo District,Baoma Chiefdom,Kigbai MCHP,MCHP,Koyama,744
Bo District,Baoma Chiefdom,Kigbai MCHP,MCHP,Sawulla,1117
Bo District,Baoma Chiefdom,Kpunbu MCHP,MCHP,,
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Mbundorbu,1050
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Kpakru,675
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Komende Junction,495
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Komende sewa,598
Bo District,Baoma Chiefdom,Mbundorbu MCHP,MCHP,Buma,925
